[PowderLattice 1]
2.0*thetadeg
  90.28648 1.0   -14    -2    -1
  90.00000 1.0   -14    -2     0
  90.28648 1.0   -14    -2     1
  90.28648 1.0   -14    -1    -2
  89.42703 1.0   -14    -1    -1
  89.14053 1.0   -14    -1     0
  89.42703 1.0   -14    -1     1
  90.28648 1.0   -14    -1     2
  90.00000 1.0   -14     0    -2
  89.14053 1.0   -14     0    -1
  88.85401 1.0   -14     0     0
  89.14053 1.0   -14     0     1
  90.00000 1.0   -14     0     2
  90.28648 1.0   -14     1    -2
  89.42703 1.0   -14     1    -1
  89.14053 1.0   -14     1     0
  89.42703 1.0   -14     1     1
  90.28648 1.0   -14     1     2
  90.28648 1.0   -14     2    -1
  90.00000 1.0   -14     2     0
  90.28648 1.0   -14     2     1
  89.42703 1.0   -13    -5    -2
  88.56746 1.0   -13    -5    -1
  88.28087 1.0   -13    -5     0
  88.56746 1.0   -13    -5     1
  89.42703 1.0   -13    -5     2
  90.28648 1.0   -13    -4    -4
  88.28087 1.0   -13    -4    -3
  86.84714 1.0   -13    -4    -2
  85.98601 1.0   -13    -4    -1
  85.69878 1.0   -13    -4     0
  85.98601 1.0   -13    -4     1
  86.84714 1.0   -13    -4     2
  88.28087 1.0   -13    -4     3
  90.28648 1.0   -13    -4     4
  88.28087 1.0   -13    -3    -4
  86.27315 1.0   -13    -3    -3
  84.83639 1.0   -13    -3    -2
  83.97283 1.0   -13    -3    -1
  83.68468 1.0   -13    -3     0
  83.97283 1.0   -13    -3     1
  84.83639 1.0   -13    -3     2
  86.27315 1.0   -13    -3     3
  88.28087 1.0   -13    -3     4
  89.42703 1.0   -13    -2    -5
  86.84714 1.0   -13    -2    -4
  84.83639 1.0   -13    -2    -3
  83.39637 1.0   -13    -2    -2
  82.53041 1.0   -13    -2    -1
  82.24138 1.0   -13    -2     0
  82.53041 1.0   -13    -2     1
  83.39637 1.0   -13    -2     2
  84.83639 1.0   -13    -2     3
  86.84714 1.0   -13    -2     4
  89.42703 1.0   -13    -2     5
  88.56746 1.0   -13    -1    -5
  85.98601 1.0   -13    -1    -4
  83.97283 1.0   -13    -1    -3
  82.53041 1.0   -13    -1    -2
  81.66272 1.0   -13    -1    -1
  81.37307 1.0   -13    -1     0
  81.66272 1.0   -13    -1     1
  82.53041 1.0   -13    -1     2
  83.97283 1.0   -13    -1     3
  85.98601 1.0   -13    -1     4
  88.56746 1.0   -13    -1     5
  88.28087 1.0   -13     0    -5
  85.69878 1.0   -13     0    -4
  83.68468 1.0   -13     0    -3
  82.24138 1.0   -13     0    -2
  81.37307 1.0   -13     0    -1
  81.08320 1.0   -13     0     0
  81.37307 1.0   -13     0     1
  82.24138 1.0   -13     0     2
  83.68468 1.0   -13     0     3
  85.69878 1.0   -13     0     4
  88.28087 1.0   -13     0     5
  88.56746 1.0   -13     1    -5
  85.98601 1.0   -13     1    -4
  83.97283 1.0   -13     1    -3
  82.53041 1.0   -13     1    -2
  81.66272 1.0   -13     1    -1
  81.37307 1.0   -13     1     0
