2thetadeg,d-value,intx,sigx,count
0.001,88267.7,0,0,0
0.011,8025.665,0,0,0
0.021,4203.953,0,0,0
0.03099,2847.847,0,0,0
0.04099,2153.253,0,0,0
0.05099,1731.048,0,0,0
0.06099,1447.271,0,0,0
0.07099,1243.43,0,0,0
0.08099,1089.921,0,0,0
0.09098,970.1496,0,0,0
0.10098,874.0953,0,0,0
0.11098,795.3482,0,0,0
0.12098,729.617,0,0,0
0.13098,673.9212,0,0,0
0.14097,626.1254,0,0,0
0.15097,584.6602,0,0,0
0.16097,548.346,0,0,0
0.17097,516.279,0,0,0
0.18097,487.7554,0,0,0
0.19097,462.2185,0,0,0
0.20096,439.2226,0,0,0
0.21096,418.4064,0,0,0
0.22096,399.474,0,0,0
0.23096,382.1808,0,0,0
0.24096,366.3227,0,0,0
0.25095,351.7282,0,0,0
0.26095,338.2521,0,0,0
0.27095,325.7705,0,0,0
0.28095,314.1773,0,0,0
0.29095,303.3808,0,0,0
0.30095,293.3017,0,0,0
0.31094,283.8709,0,0,0
0.32094,275.0275,0,0,0
0.33094,266.7186,0,0,0
0.34094,258.897,0,0,0
0.35094,251.521,0,0,0
0.36093,244.5537,0,0,0
0.37093,237.962,0,0,0
0.38093,231.7163,0,0,0
0.39093,225.79,0,0,0
0.40093,220.1594,0,0,0
0.41093,214.8027,0,0,0
0.42092,209.7006,0,0,0
0.43092,204.8351,0,0,0
0.44092,200.1904,0,0,0
0.45092,195.7516,0,0,0
0.46092,191.5054,0,0,0
0.47091,187.4395,0,0,0
0.48091,183.5426,0,0,0
0.49091,179.8045,0,0,0
0.50091,176.2156,0,0,0
0.51091,172.7672,0,0,0
0.52091,169.4512,0,0,0
0.5309,166.26,0,0,0
0.5409,163.1868,0,0,0
0.5509,160.2252,0,0,0
0.5609,157.3692,0,0,0
0.5709,154.6132,0,0,0
0.58089,151.952,0,0,0
0.59089,149.381,0,0,0
0.60089,146.8954,0,0,0
0.61089,144.4913,0,0,0
0.62089,142.1646,0,0,0
0.63089,139.9116,0,0,0
0.64088,137.7289,0,0,0
0.65088,135.6133,0,0,0
0.66088,133.5616,0,0,0
0.67088,131.5712,0,0,0
0.68088,129.6392,0,0,0
0.69087,127.7631,0,0,0
0.70087,125.9405,0,0,0
0.71087,124.1692,0,0,0
0.72087,122.4471,0,0,0
0.73087,120.772,0,0,0
0.74087,119.1422,0,0,0
0.75086,117.5558,0,0,0
0.76086,116.011,0,0,0
0.77086,114.5064,0,0,0
0.78086,113.0403,0,0,0
0.79086,111.6112,0,0,0
0.80085,110.2178,0,0,0
0.81085,108.8588,0,0,0
0.82085,107.5329,0,0,0
0.83085,106.2389,0,0,0
0.84085,104.9757,0,0,0
0.85085,103.7422,0,0,0
0.86084,102.5373,0,0,0
0.87084,101.3601,0,0,0
0.88084,100.2096,0,0,0
0.89084,99.0849,0,0,0
0.90084,97.9852,0,0,0
0.91083,96.90965,0,0,0
0.92083,95.85745,0,0,0
0.93083,94.82785,0,0,0
0.94083,93.82014,0,0,0
0.95083,92.83362,0,0,0
0.96083,91.86763,0,0,0
0.97082,90.92154,0,0,0
0.98082,89.99474,0,0,0
0.99082,89.08664,0,0,0
1.00082,88.19669,0,0,0
1.01082,87.32434,0,0,0
1.02081,86.46908,0,0,0
1.03081,85.63041,0,0,0
1.04081,84.80785,0,0,0
1.05081,84.00095,0,0,0
1.06081,83.20926,0,0,0
1.07081,82.43235,0,0,0
1.0808,81.66982,0,0,0
1.0908,80.92126,0,0,0
1.1008,80.1863,0,0,0
1.1108,79.46458,0,0,0
1.1208,78.75573,0,0,0
1.13079,78.05941,0,0,0
1.14079,77.3753,0,0,0
1.15079,76.70308,0,0,0
1.16079,76.04244,0,0,0
1.17079,75.39308,0,0,0
1.18079,74.75472,0,0,0
1.19078,74.12708,0,0,0
1.20078,73.50989,0,0,0
1.21078,72.9029,0,0,0
1.22078,72.30584,0,0,0
1.23078,71.71849,0,0,0
1.24077,71.1406,0,0,0
1.25077,70.57196,0,0,0
1.26077,70.01233,0,0,0
1.27077,69.46151,0,0,0
1.28077,68.91928,0,0,0
1.29077,68.38546,0,0,0
1.30076,67.85985,0,0,0
1.31076,67.34225,0,0,0
1.32076,66.83249,0,0,0
1.33076,66.33039,0,0,0
1.34076,65.83578,0,0,0
1.35075,65.34849,0,0,0
1.36075,64.86836,0,0,0
1.37075,64.39524,0,0,0
1.38075,63.92897,0,0,0
1.39075,63.4694,0,0,0
1.40075,63.01639,0,0,0
1.41074,62.56981,0,0,0
1.42074,62.12951,0,0,0
1.43074,61.69536,0,0,0
1.44074,61.26724,0,0,0
1.45074,60.84502,0,0,0
1.46073,60.42858,0,0,0
1.47073,60.0178,0,0,0
1.48073,59.61257,0,0,0
1.49073,59.21278,0,0,0
