M27_Mo2C/1	
θ/2θ, °	Intensity, cps
4.53000020980835	86305.1015625
4.53999996185303	85162.7109375
4.55000019073486	86945.328125
4.55999994277954	85438.765625
4.57000017166138	84613.421875
4.57999992370605	84352.4765625
4.59000015258789	85619.6328125
4.59999990463257	85350.34375
4.6100001335144	84773.40625
4.61999988555908	83082.46875
4.63000011444092	82026.9140625
4.6399998664856	81566.3828125
4.65000009536743	82952.0546875
4.65999984741211	81606.59375
4.67000007629395	80451.0234375
4.67999982833862	82217.0390625
4.69000005722046	83032.9609375
4.69999980926514	83137.65625
4.71000003814697	81728.5703125
4.71999979019165	81352.4765625
4.73000001907349	79073.78125
4.73999977111816	79017.984375
4.75	79813.7578125
4.76000022888184	79666.4375
4.76999998092651	79099.7890625
4.78000020980835	78963.1796875
4.78999996185303	80184.84375
4.80000019073486	79479.953125
4.80999994277954	77820.5546875
4.82000017166138	77325.3125
4.82999992370605	79878.46875
4.84000015258789	78764.1640625
4.84999990463257	78045.1015625
4.8600001335144	78017.28125
4.86999988555908	78081.6796875
4.88000011444092	78223.328125
4.8899998664856	76664.71875
4.90000009536743	75801.703125
4.90999984741211	75492.8984375
4.92000007629395	74739.6484375
4.92999982833862	76364.4453125
4.94000005722046	75103.734375
4.94999980926514	73920.09375
4.96000003814697	76479.46875
4.96999979019165	77394.2265625
4.98000001907349	77826.015625
4.98999977111816	75539.9765625
5	75464.890625
5.01000022888184	75357.09375
5.01999998092651	75564.6171875
5.03000020980835	74807.8984375
5.03999996185303	73406.125
5.05000019073486	72330.578125
5.05999994277954	71849.5546875
5.07000017166138	72879.1484375
5.07999992370605	73733.640625
5.09000015258789	74401.1796875
5.09999990463257	74170.7578125
5.1100001335144	72525.625
5.11999988555908	71634.40625
5.13000011444092	71833.859375
5.1399998664856	70347.109375
5.15000009536743	71584.78125
5.15999984741211	72873.515625
5.17000007629395	70752.6171875
5.17999982833862	72367.8359375
5.19000005722046	72454.9609375
5.19999980926514	71335.078125
5.21000003814697	71809.453125
5.21999979019165	72370.9453125
5.23000001907349	73797.140625
5.23999977111816	72424.4609375
5.25	70242.5
5.26000022888184	69835.203125
5.26999998092651	69561.9609375
5.28000020980835	70516.53125
5.28999996185303	71240.90625
5.30000019073486	70517.09375
5.30999994277954	69525
5.32000017166138	70296.0078125
5.32999992370605	67662.1015625
5.34000015258789	68095.828125
5.34999990463257	69555.3671875
5.3600001335144	68178.3359375
5.36999988555908	67324.34375
5.38000011444092	67474.5234375
5.3899998664856	69037.7734375
5.40000009536743	69659.8984375
5.40999984741211	68679.359375
5.42000007629395	68015.6640625
5.42999982833862	68884.5390625
5.44000005722046	68623.0546875
5.44999980926514	68144.8125
5.46000003814697	68667.0390625
5.46999979019165	69249.921875
5.48000001907349	67833.3828125
5.48999977111816	67064.65625
5.5	67084
5.51000022888184	66631.359375
5.51999998092651	67099.890625
5.53000020980835	66819.28125
5.53999996185303	69736.0234375
5.55000019073486	68150
5.55999994277954	67007.2421875
5.57000017166138	66303.5625
5.57999992370605	66209.3828125
5.59000015258789	64607.23046875
5.59999990463257	65819.3515625
5.6100001335144	64998.52734375
5.61999988555908	65201.19921875
5.63000011444092	65549.75
5.6399998664856	64868.69921875
5.65000009536743	66239.015625
5.65999984741211	65885.71875
5.67000007629395	64288.49609375
5.67999982833862	65548.734375
5.69000005722046	65460.22265625
5.69999980926514	64918.95703125
5.71000003814697	65707.078125
5.71999979019165	64476.93359375
5.73000001907349	64394.2734375
5.73999977111816	64665.74609375
5.75	64052.02734375
5.76000022888184	63171.44921875
5.76999998092651	63182.9453125
5.78000020980835	65467.48828125
5.78999996185303	63696.28515625
5.80000019073486	61867.40625
5.80999994277954	62655.21875
5.82000017166138	62917.4296875
5.82999992370605	61857.83203125
5.84000015258789	61438.109375
5.84999990463257	61923.921875
5.8600001335144	61868.27734375
5.86999988555908	60898.04296875
5.88000011444092	61861.68359375
5.8899998664856	61070.09375
5.90000009536743	60532.8203125
5.90999984741211	62005.7421875
5.92000007629395	61715.37890625
5.92999982833862	60674.6328125
5.94000005722046	61181.609375
5.94999980926514	60496.3203125
5.96000003814697	61123.1484375
5.96999979019165	61298.27734375
5.98000001907349	59726.30078125
5.98999977111816	58364.61328125
6	59876.43359375
6.01000022888184	60637.38671875
6.01999998092651	60762.97265625
6.03000020980835	59097.35546875
6.03999996185303	59124.0078125
6.05000019073486	58594.921875
6.05999994277954	59900.59765625
6.07000017166138	59672.49609375
6.07999992370605	59534.68359375
6.09000015258789	58142.203125
6.09999990463257	57807.96484375
6.1100001335144	57495.75
6.11999988555908	58232.92578125
6.13000011444092	58340.578125
6.1399998664856	57992.48828125
6.15000009536743	58080.0625
6.15999984741211	57473.796875
6.17000007629395	56880.96875
6.17999982833862	54793.7578125
6.19000005722046	55199.01171875
6.19999980926514	55564.6796875
6.21000003814697	56453.08203125
6.21999979019165	56991.6015625
6.23000001907349	56490.9921875
6.23999977111816	55784.84765625
6.25	56638.49609375
6.26000022888184	56352.36328125
6.26999998092651	55702.6015625
6.28000020980835	56374.12890625
6.28999996185303	55614.78125
6.30000019073486	54925.7578125
6.30999994277954	55312.8828125
6.32000017166138	56356.31640625
6.32999992370605	55026.3515625
6.34000015258789	55009.4765625
6.34999990463257	55651.68359375
6.3600001335144	54793.18359375
6.36999988555908	53645.09765625
6.38000011444092	54131.875
6.3899998664856	55440.953125
6.40000009536743	55137.98828125
6.40999984741211	55000.078125
6.42000007629395	53222.59375
6.42999982833862	52957.5078125
6.44000005722046	52985.35546875
6.44999980926514	54660.86328125
6.46000003814697	53213.125
6.46999979019165	53726.3359375
6.48000001907349	54837.4296875
6.48999977111816	53435.71875
6.5	55157.515625
6.51000022888184	54182.39453125
6.51999998092651	52427.66796875
6.53000020980835	53320.6640625
6.53999996185303	52906.36328125
6.55000019073486	52231.296875
6.55999994277954	52183.7734375
6.57000017166138	52220.203125
6.57999992370605	51902.88671875
6.59000015258789	51540.3515625
6.59999990463257	50998.203125
6.6100001335144	52447.26171875
6.61999988555908	53127.8359375
6.63000011444092	52857.44140625
6.6399998664856	51667.40234375
6.65000009536743	51923.98828125
6.65999984741211	50984.97265625
6.67000007629395	50747.76171875
6.67999982833862	50280.11328125
6.69000005722046	50904.1015625
6.69999980926514	51546.53515625
6.71000003814697	52014.58203125
6.71999979019165	50296.2734375
6.73000001907349	50163.26953125
6.73999977111816	51808.9921875
6.75	50790.5390625
6.76000022888184	50240.703125
6.76999998092651	50609.77734375
6.78000020980835	51693.46484375
6.78999996185303	50763.4609375
6.80000019073486	50580.81640625
6.80999994277954	51891.79296875
6.82000017166138	51165.78125
6.82999992370605	50678.2890625
6.84000015258789	50915.21875
6.84999990463257	50969.6953125
6.8600001335144	50116.3984375
6.86999988555908	49567.234375
6.88000011444092	49796.3828125
6.8899998664856	49720.94140625
6.90000009536743	49172.03125
6.90999984741211	48546.89453125
6.92000007629395	47735.41015625
6.92999982833862	48231.06640625
6.94000005722046	49142.4140625
6.94999980926514	48698.76171875
6.96000003814697	49329.7265625
6.96999979019165	50873.78515625
6.98000001907349	49841.17578125
6.98999977111816	47957.6953125
7	47742.015625
7.01000022888184	48152.19140625
7.01999998092651	48332.7890625
7.03000020980835	48226.65234375
7.03999996185303	49609.87890625
7.05000019073486	48847.5625
7.05999994277954	47062.875
7.07000017166138	48243.92578125
7.07999992370605	47362.5859375
7.09000015258789	48924.96875
7.09999990463257	48032.30859375
7.1100001335144	47437.70703125
7.11999988555908	48840.05078125
7.13000011444092	48209.3671875
7.1399998664856	47718.5
7.15000009536743	47513.15234375
7.15999984741211	46599.47265625
7.17000007629395	47411.046875
7.17999982833862	48357.3359375
7.19000005722046	46835.828125
7.19999980926514	46992.8515625
7.21000003814697	47311.796875
7.21999979019165	47508.48046875
7.23000001907349	47782.125
7.23999977111816	47275.9296875
7.25	47059.91796875
7.26000022888184	45545.79296875
7.26999998092651	45673.5703125
7.28000020980835	47064.58984375
7.28999996185303	47037.01953125
7.30000019073486	46126.64453125
7.30999994277954	46218.94921875
7.32000017166138	47986.4375
7.32999992370605	48247.30859375
7.34000015258789	45723.984375
7.34999990463257	44865.27734375
7.3600001335144	45103.73046875
7.36999988555908	44649.68359375
7.38000011444092	44542.3515625
7.3899998664856	45109.87109375
7.40000009536743	45511.51171875
7.40999984741211	45897.07421875
7.42000007629395	45598.9375
7.42999982833862	45050.1015625
7.44000005722046	45193.12890625
7.44999980926514	44084.75390625
7.46000003814697	45943.7890625
7.46999979019165	45553.875
7.48000001907349	44305.8828125
7.48999977111816	44152.703125
7.5	44565.66015625
7.51000022888184	44647.87890625
7.51999998092651	44509.234375
7.53000020980835	44616.3828125
7.53999996185303	46171.31640625
7.55000019073486	45079.68359375
7.55999994277954	43979.82421875
7.57000017166138	43612.328125
7.57999992370605	43163.65234375
7.59000015258789	44413.953125
7.59999990463257	45206.4296875
7.6100001335144	45104.8984375
7.61999988555908	44860.2734375
7.63000011444092	44419.23828125
7.6399998664856	44597.69921875
7.65000009536743	43728.63671875
7.65999984741211	43253.7421875
7.67000007629395	44158.296875
7.67999982833862	42776.3671875
7.69000005722046	43926.8671875
7.69999980926514	43245.08984375
7.71000003814697	42984.58984375
7.71999979019165	41823.58203125
7.73000001907349	41934.15625
7.73999977111816	44128.05859375
7.75	43268.5234375
7.76000022888184	43112.609375
7.76999998092651	43897.984375
7.78000020980835	43662.5390625
7.78999996185303	42828.57421875
7.80000019073486	42533.25390625
7.80999994277954	42299.42578125
7.82000017166138	41392.24609375
7.82999992370605	43374.25390625
7.84000015258789	43210.1484375
7.84999990463257	43627.66796875
7.8600001335144	42906.15625
7.86999988555908	42827.609375
7.88000011444092	42812.40625
7.8899998664856	42993.2890625
7.90000009536743	43292.42578125
7.90999984741211	41993.9140625
7.92000007629395	40994.9375
7.92999982833862	41282.78515625
7.94000005722046	41796.70703125
7.94999980926514	42543.8046875
7.96000003814697	43060.2109375
7.96999979019165	42782.5859375
7.98000001907349	41303.06640625
7.98999977111816	41000.26171875
8	42171.32421875
8.01000022888184	41679.6796875
8.02000045776367	41677.3515625
8.02999973297119	40902.9140625
8.03999996185303	41390.1875
8.05000019073486	41330.2578125
8.0600004196167	40142.69921875
8.06999969482422	41090.53515625
8.07999992370605	41815.515625
8.09000015258789	41046.046875
8.10000038146973	40697.26953125
8.10999965667725	41053.25
8.11999988555908	41611.48046875
8.13000011444092	41462.9140625
8.14000034332275	40309.20703125
8.14999961853027	40715.27734375
8.15999984741211	42089.8828125
8.17000007629395	41798.828125
8.18000030517578	40944.44921875
8.1899995803833	40631.671875
8.19999980926514	40427.703125
8.21000003814697	39767.03515625
8.22000026702881	40581.35546875
8.22999954223633	40321.703125
8.23999977111816	40521.234375
8.25	42032.38671875
8.26000022888184	40904.24609375
8.27000045776367	40197.62890625
8.27999973297119	40290.765625
8.28999996185303	41063.34765625
8.30000019073486	40465.25
8.3100004196167	39889.6875
8.31999969482422	40002.6796875
8.32999992370605	40285.34765625
8.34000015258789	39442.5078125
8.35000038146973	39989.5625
8.35999965667725	40307.21875
8.36999988555908	40737.2265625
8.38000011444092	40494.80859375
8.39000034332275	39993.0546875
8.39999961853027	39784.01171875
8.40999984741211	40279.24609375
8.42000007629395	39761.80078125
8.43000030517578	38615.9296875
8.4399995803833	38765.91015625
8.44999980926514	39540.109375
8.46000003814697	39304.89453125
