M25/1	

θ/2θ, °	Intensity, cps

3	243159.40625

3.00999999046326	241555.515625

3.01999998092651	241078.59375

3.02999997138977	239876.015625

3.03999996185303	237125.046875

3.04999995231628	234172.390625

3.05999994277954	231409.34375

3.0699999332428	228182.765625

3.07999992370605	225550.4375

3.08999991416931	225163.421875

3.09999990463257	224978.40625

3.10999989509583	224906.6875

3.11999988555908	221073.6875

3.13000011444092	218068.78125

3.14000010490417	217770.53125

3.15000009536743	216738.453125

3.16000008583069	215785.734375

3.17000007629395	213961.59375

3.1800000667572	213922.765625

3.19000005722046	209478.546875

3.20000004768372	206354.296875

3.21000003814697	205814.171875

3.22000002861023	206572.3125

3.23000001907349	207502.875

3.24000000953674	204655.734375

3.25	200911.5625

3.25999999046326	197601.421875

3.26999998092651	197255.828125

3.27999997138977	195069.46875

3.28999996185303	196025.640625

3.29999995231628	193883.328125

3.30999994277954	195078.171875

3.3199999332428	197378.3125

3.32999992370605	192782.609375

3.33999991416931	190339.71875

3.34999990463257	188334.4375

3.35999989509583	187564.875

3.36999988555908	186960.5

3.38000011444092	183217.265625

3.39000010490417	181241.125

3.40000009536743	184204.171875

3.41000008583069	182136.03125

3.42000007629395	181443.71875

3.4300000667572	180067.734375

3.44000005722046	175469.359375

3.45000004768372	175328.765625

3.46000003814697	174223.40625

3.47000002861023	174767.71875

3.48000001907349	174931.40625

3.49000000953674	174441.21875

3.5	171999.265625

3.50999999046326	169597.46875

3.51999998092651	168161.4375

3.52999997138977	167096.5

3.53999996185303	164552.296875

3.54999995231628	165315.78125

3.55999994277954	165955.3125

3.5699999332428	165246.5625

3.57999992370605	161582.9375

3.58999991416931	161483.90625

3.59999990463257	163215.953125

3.60999989509583	161464

3.61999988555908	158790.734375

3.63000011444092	157891.34375

3.64000010490417	158346.265625

3.65000009536743	154337.78125

3.66000008583069	155176.65625

3.67000007629395	156762.28125

3.6800000667572	155199.734375

3.69000005722046	157414.625

3.70000004768372	155452.25

3.71000003814697	152155.9375

3.72000002861023	147846.96875

3.73000001907349	144939.96875

3.74000000953674	144177.9375

3.75	146851.890625

3.75999999046326	146764.390625

3.76999998092651	142863.65625

3.77999997138977	142365.84375

3.78999996185303	142923.53125

3.79999995231628	144562.28125

3.80999994277954	144801.640625

3.8199999332428	142650.15625

3.82999992370605	140435.453125

3.83999991416931	141072.859375

3.84999990463257	141869.34375

3.85999989509583	141616.984375

3.86999988555908	140079.3125

3.88000011444092	138242.28125

3.89000010490417	137592.3125

3.90000009536743	135941.859375

3.91000008583069	133862.203125

3.92000007629395	133420.484375

3.9300000667572	131379.21875

3.94000005722046	130101.9921875

3.95000004768372	132506.6875

3.96000003814697	134273.171875

3.97000002861023	131440.875

3.98000001907349	131029.734375

3.99000000953674	129116.734375

4	127026.3828125

4.01000022888184	127889.5

4.01999998092651	127378.0625

4.03000020980835	127565.59375

4.03999996185303	125644.09375

4.05000019073486	123990.4140625

4.05999994277954	124827.6875

4.07000017166138	124424.984375

4.07999992370605	125306.3125

4.09000015258789	124995.3125

4.09999990463257	121991.8515625

4.1100001335144	121245.2890625

4.11999988555908	119952.75

4.13000011444092	119461.03125

4.1399998664856	119025.03125

4.15000009536743	119936.65625

4.15999984741211	119865.2890625

4.17000007629395	118963.75

4.17999982833862	119018.9765625

4.19000005722046	116594.625

4.19999980926514	117286.3515625

4.21000003814697	117125.8359375

4.21999979019165	115630.6875

4.23000001907349	115748.8359375

4.23999977111816	116048.609375

4.25	114446.3046875

4.26000022888184	115278.6875

4.26999998092651	114207.09375

4.28000020980835	114835.53125

4.28999996185303	112259.15625

4.30000019073486	112103.1953125

4.30999994277954	113382.625

4.32000017166138	109505.2421875

4.32999992370605	108828.9609375

4.34000015258789	108203.9140625

4.34999990463257	109331.6171875

4.3600001335144	109241.5390625

4.36999988555908	108620.140625

4.38000011444092	110005.1796875

4.3899998664856	109020.3125

4.40000009536743	109225.2578125

4.40999984741211	109170.4375

4.42000007629395	107370.703125

4.42999982833862	107276.6953125

4.44000005722046	105720.0625

4.44999980926514	104793.203125

4.46000003814697	102820.0859375

4.46999979019165	101634.4765625

4.48000001907349	103824.8359375

4.48999977111816	102687.65625

4.5	100962.359375

4.51000022888184	99349.1171875

4.51999998092651	98958.4921875

4.53000020980835	100562.34375

4.53999996185303	102423.84375

4.55000019073486	101465.4609375

4.55999994277954	99948.8671875

4.57000017166138	100763.7265625

4.57999992370605	100729.6953125

4.59000015258789	98868.578125

4.59999990463257	97699.203125

4.6100001335144	96989.03125

4.61999988555908	97815.5546875

4.63000011444092	97692.1875

4.6399998664856	97662.40625

4.65000009536743	97488.796875

4.65999984741211	97171.5859375

4.67000007629395	97047.5078125

4.67999982833862	97034.671875

4.69000005722046	95779.3203125

4.69999980926514	93656.7734375

4.71000003814697	94842.5625

4.71999979019165	92296.03125

4.73000001907349	94057.6328125

4.73999977111816	95938.765625

4.75	96435.8515625

4.76000022888184	93933.4765625

4.76999998092651	91655.671875

4.78000020980835	93069.4609375

4.78999996185303	93350.9765625

4.80000019073486	90228.140625

4.80999994277954	89015.1796875

4.82000017166138	91596.4921875

4.82999992370605	93386.5

4.84000015258789	90915.859375

4.84999990463257	88641.296875

4.8600001335144	88924.4453125

4.86999988555908	91438.0546875

4.88000011444092	90041.4375

4.8899998664856	89855.1796875

4.90000009536743	90858.03125

4.90999984741211	89739.5546875

4.92000007629395	87444.546875

4.92999982833862	88430.4921875

