M28/1	
θ/2θ, °	Intensity, cps
3	102536.90625
3.00999999046326	101900.6328125
3.01999998092651	101608.171875
3.02999997138977	100120.1640625
3.03999996185303	99938.4765625
3.04999995231628	99157.859375
3.05999994277954	98029.9609375
3.0699999332428	97791.1328125
3.07999992370605	97041.15625
3.08999991416931	97999.578125
3.09999990463257	98106.578125
3.10999989509583	96735.8203125
3.11999988555908	97719.859375
3.13000011444092	98082.84375
3.14000010490417	94845.2734375
3.15000009536743	92042.6328125
3.16000008583069	93879.7109375
3.17000007629395	95783.296875
3.1800000667572	95650.9765625
3.19000005722046	96914.171875
3.20000004768372	95331.6640625
3.21000003814697	95633.078125
3.22000002861023	94771.7421875
3.23000001907349	92046.8828125
3.24000000953674	91778.0859375
3.25	89698.484375
3.25999999046326	92599.1953125
3.26999998092651	91301.296875
3.27999997138977	91451.53125
3.28999996185303	90278.5703125
3.29999995231628	89879.03125
3.30999994277954	90582.3671875
3.3199999332428	89527.78125
3.32999992370605	88365.375
3.33999991416931	88220.171875
3.34999990463257	88206.421875
3.35999989509583	88337.1796875
3.36999988555908	88801.9140625
3.38000011444092	89199.3046875
3.39000010490417	88327.9140625
3.40000009536743	86545.3125
3.41000008583069	87146.546875
3.42000007629395	88018.9765625
3.4300000667572	89238.6796875
3.44000005722046	88763.65625
3.45000004768372	85397.8515625
3.46000003814697	85143.640625
3.47000002861023	85407.875
3.48000001907349	82631.46875
3.49000000953674	82575.5
3.5	82021.3828125
3.50999999046326	82019.28125
3.51999998092651	82806.3671875
3.52999997138977	83118.4375
3.53999996185303	82474.484375
3.54999995231628	83241.53125
3.55999994277954	83519.953125
3.5699999332428	83301.1875
3.57999992370605	81966.5234375
3.58999991416931	80568.421875
3.59999990463257	79766.921875
3.60999989509583	81059.0546875
3.61999988555908	80142.890625
3.63000011444092	80526.1640625
3.64000010490417	80562.3515625
3.65000009536743	80338.25
3.66000008583069	81831.234375
3.67000007629395	80820.9609375
3.6800000667572	80140.03125
3.69000005722046	78608.1953125
3.70000004768372	79727.1796875
3.71000003814697	78863.328125
3.72000002861023	77632.5390625
3.73000001907349	78276.0625
3.74000000953674	77744.3359375
3.75	78911.1328125
3.75999999046326	77607.7265625
3.76999998092651	75027.28125
3.77999997138977	75259.9296875
3.78999996185303	77089.9296875
3.79999995231628	77012.078125
3.80999994277954	76630.0390625
3.8199999332428	76731.421875
3.82999992370605	77510.765625
3.83999991416931	77223.9375
3.84999990463257	75592.0625
3.85999989509583	74591.5703125
3.86999988555908	73110.9375
3.88000011444092	74288.4609375
3.89000010490417	74071.2890625
3.90000009536743	74979.8671875
3.91000008583069	74648.0234375
3.92000007629395	74378.453125
3.9300000667572	74731.4140625
3.94000005722046	74113.421875
3.95000004768372	72166.34375
3.96000003814697	71801.375
3.97000002861023	71726.4375
3.98000001907349	72678.3125
3.99000000953674	73082.6796875
4	72098.796875
4.01000022888184	72540.890625
4.01999998092651	73020.4921875
4.03000020980835	72788.609375
4.03999996185303	72580.234375
4.05000019073486	72250.0859375
4.05999994277954	73136.9765625
4.07000017166138	70674.1328125
4.07999992370605	68058.21875
4.09000015258789	68540.546875
4.09999990463257	71208.8203125
4.1100001335144	72138
4.11999988555908	70556.609375
4.13000011444092	70216.1640625
4.1399998664856	69549.8515625
4.15000009536743	68173.65625
4.15999984741211	69044.6875
4.17000007629395	70109.6953125
4.17999982833862	70350.796875
4.19000005722046	69539.6328125
4.19999980926514	69880.3828125
4.21000003814697	69475.2265625
4.21999979019165	67736.921875
4.23000001907349	67525.5703125
4.23999977111816	68775.2421875
4.25	68424.4609375
4.26000022888184	68297.46875
4.26999998092651	69125.53125
4.28000020980835	68303.9609375
4.28999996185303	67479.6796875
4.30000019073486	66987.296875
4.30999994277954	67624.4453125
4.32000017166138	68015.8359375
4.32999992370605	65886.765625
4.34000015258789	66505.796875
4.34999990463257	66225.21875
4.3600001335144	67131.1171875
4.36999988555908	66519.828125
4.38000011444092	67525.4765625
4.3899998664856	66334.7890625
4.40000009536743	65614.1015625
4.40999984741211	64796.796875
4.42000007629395	64629.109375
4.42999982833862	64691.69140625
4.44000005722046	63964.44921875
4.44999980926514	64802.01171875
4.46000003814697	64505.203125
4.46999979019165	63622.73046875
4.48000001907349	65369.8984375
4.48999977111816	64813.89453125
4.5	65395.83203125
4.51000022888184	65465.9296875
4.51999998092651	63148.87109375
4.53000020980835	62940.125
4.53999996185303	63842.57421875
4.55000019073486	63279.94921875
4.55999994277954	65071.39453125
4.57000017166138	64897.40234375
4.57999992370605	64315.3984375
4.59000015258789	62813.52734375
4.59999990463257	63147.50390625
4.6100001335144	62979.4140625
4.61999988555908	64949.375
4.63000011444092	64971.05859375
4.6399998664856	62997.14453125
4.65000009536743	61767.98046875
4.65999984741211	62259.55859375
4.67000007629395	62353.71484375
4.67999982833862	60996.78515625
4.69000005722046	62149.0859375
4.69999980926514	63340.9609375
4.71000003814697	63165.671875
4.71999979019165	63384.26171875
4.73000001907349	62105.6015625
4.73999977111816	62088.17578125
4.75	61924.47265625
4.76000022888184	63245.25390625
4.76999998092651	62540.52734375
4.78000020980835	62371.359375
4.78999996185303	60972.15234375
4.80000019073486	62148.59765625
4.80999994277954	61871.140625
4.82000017166138	60752.33984375
4.82999992370605	60918.81640625
4.84000015258789	61552.86328125
4.84999990463257	61367.5234375
4.8600001335144	60316.9140625
4.86999988555908	60636.12890625
4.88000011444092	61237.35546875
4.8899998664856	62250.11328125
4.90000009536743	61556.52734375
4.90999984741211	60805.53125
4.92000007629395	58808.3359375
4.92999982833862	59333.58203125
4.94000005722046	60379.0234375
4.94999980926514	60580.8515625
4.96000003814697	60079.62890625
4.96999979019165	58619.78515625
4.98000001907349	58570.42578125
4.98999977111816	59650.4921875
5	58994.60546875
5.01000022888184	57030.7734375
5.01999998092651	57786.3359375
5.03000020980835	58398.5078125
5.03999996185303	60276.2109375
5.05000019073486	60839.171875
5.05999994277954	59755.4375
5.07000017166138	59136.84375
5.07999992370605	59347.171875
5.09000015258789	59020.63671875
5.09999990463257	58508.5859375
