M21/1	
θ/2θ, °	Intensity, cps
3	437143.03125
3.00999999046326	431510.03125
3.01999998092651	431019.90625
3.02999997138977	422448.46875
3.03999996185303	422633.4375
3.04999995231628	420428.40625
3.05999994277954	417196.46875
3.0699999332428	417395.625
3.07999992370605	419240
3.08999991416931	418020.5625
3.09999990463257	415190.65625
3.10999989509583	412877.90625
3.11999988555908	412104.65625
3.13000011444092	403704.28125
3.14000010490417	397762.34375
3.15000009536743	393024.84375
3.16000008583069	394420.125
3.17000007629395	399743.625
3.1800000667572	399347.65625
3.19000005722046	394745.4375
3.20000004768372	397657.28125
3.21000003814697	395052.875
3.22000002861023	392852.84375
3.23000001907349	379234.90625
3.24000000953674	378763.09375
3.25	387116.46875
3.25999999046326	394124.3125
3.26999998092651	379077.65625
3.27999997138977	366898.625
3.28999996185303	365024.03125
3.29999995231628	367111.46875
3.30999994277954	368216.84375
3.3199999332428	366844.59375
3.32999992370605	364814.3125
3.33999991416931	364404.46875
3.34999990463257	362856.0625
3.35999989509583	363223.0625
3.36999988555908	358702.09375
3.38000011444092	357724.125
3.39000010490417	355638.59375
3.40000009536743	354853.28125
3.41000008583069	349870.46875
3.42000007629395	345369.78125
3.4300000667572	339190.78125
3.44000005722046	338824.4375
3.45000004768372	341445.8125
3.46000003814697	343331.5
3.47000002861023	338130.59375
3.48000001907349	338697.875
3.49000000953674	337607.625
3.5	326989.25
3.50999999046326	324511.34375
3.51999998092651	324713
3.52999997138977	321432.25
3.53999996185303	324658.40625
3.54999995231628	327649.90625
3.55999994277954	320371.71875
3.5699999332428	319373.6875
3.57999992370605	320423.40625
3.58999991416931	316269.34375
3.59999990463257	310064.25
3.60999989509583	308022.46875
3.61999988555908	308151.15625
3.63000011444092	312513.25
3.64000010490417	305173.5
3.65000009536743	309036.78125
3.66000008583069	300724.0625
3.67000007629395	295933.59375
3.6800000667572	296000.5625
3.69000005722046	294590.78125
3.70000004768372	292289.75
3.71000003814697	294227.59375
3.72000002861023	293160.625
3.73000001907349	293776.75
3.74000000953674	289072.9375
3.75	286199.53125
3.75999999046326	281552.15625
3.76999998092651	279520.25
3.77999997138977	282391.71875
3.78999996185303	277461.8125
3.79999995231628	274572.59375
3.80999994277954	275427
3.8199999332428	274667.84375
3.82999992370605	272474.96875
3.83999991416931	269070.6875
3.84999990463257	270436.53125
3.85999989509583	269665.4375
3.86999988555908	268750.21875
3.88000011444092	267927.15625
3.89000010490417	264458.6875
3.90000009536743	264264.71875
3.91000008583069	258547.453125
3.92000007629395	257726.765625
3.9300000667572	260341.234375
3.94000005722046	259612.234375
3.95000004768372	258124.71875
3.96000003814697	254362.5625
3.97000002861023	250852.28125
3.98000001907349	252183.921875
3.99000000953674	249016.859375
4	246127.28125
4.01000022888184	244929.953125
4.01999998092651	241037.484375
4.03000020980835	237034.828125
4.03999996185303	238630.78125
4.05000019073486	239612.171875
4.05999994277954	237225.84375
4.07000017166138	235451.375
4.07999992370605	233971.3125
4.09000015258789	240056.03125
4.09999990463257	236103.203125
4.1100001335144	235165.453125
4.11999988555908	234003.25
4.13000011444092	228803.40625
4.1399998664856	228294.75
4.15000009536743	224435.0625
4.15999984741211	222619.578125
4.17000007629395	226471.203125
4.17999982833862	224637.890625
4.19000005722046	220217.109375
4.19999980926514	221767.25
4.21000003814697	221292.625
4.21999979019165	216773.03125
4.23000001907349	215837.359375
4.23999977111816	218727.640625
4.25	214249.140625
4.26000022888184	209340.78125
4.26999998092651	205328.0625
4.28000020980835	205873.859375
4.28999996185303	204619.90625
4.30000019073486	206863.390625
4.30999994277954	206229.0625
4.32000017166138	200326.921875
4.32999992370605	200144.984375
4.34000015258789	201357.828125
4.34999990463257	201270.84375
4.3600001335144	197001.453125
4.36999988555908	198554.953125
4.38000011444092	196227.90625
4.3899998664856	193141.8125
4.40000009536743	192720.5625
4.40999984741211	192486.0625
4.42000007629395	189311.234375
4.42999982833862	188145.96875
4.44000005722046	186092.296875
4.44999980926514	186074.78125
4.46000003814697	185466.296875
4.46999979019165	185020.953125
4.48000001907349	187713.75
4.48999977111816	184790.1875
4.5	184055.875
4.51000022888184	183896.125
4.51999998092651	184986.90625
4.53000020980835	179606.1875
4.53999996185303	174755.90625
4.55000019073486	174933.40625
4.55999994277954	172771.34375
4.57000017166138	173835.90625
4.57999992370605	175498.8125
4.59000015258789	172553.890625
4.59999990463257	172224.921875
4.6100001335144	169816.65625
4.61999988555908	169494.453125
4.63000011444092	172005.609375
4.6399998664856	169982.09375
4.65000009536743	166237.515625
4.65999984741211	164434.078125
4.67000007629395	162148.5625
4.67999982833862	161451.6875
4.69000005722046	164081.8125
4.69999980926514	159723.265625
4.71000003814697	160772.671875
4.71999979019165	162939.109375
4.73000001907349	159361.390625
4.73999977111816	159228.34375
4.75	159514.40625
4.76000022888184	157605.53125
4.76999998092651	154937.109375
4.78000020980835	153270.015625
4.78999996185303	156612.375
