M19/1	
θ/2θ, °	Intensity, cps
3	189037.859375
3.00999999046326	187208.1875
3.01999998092651	184308
3.02999997138977	185753.875
3.03999996185303	187586.828125
3.04999995231628	183546.21875
3.05999994277954	184656.796875
3.0699999332428	181731.84375
3.07999992370605	180480.4375
3.08999991416931	180470.515625
3.09999990463257	179410.265625
3.10999989509583	177344.6875
3.11999988555908	173913.078125
3.13000011444092	176764.96875
3.14000010490417	176987.765625
3.15000009536743	169630.453125
3.16000008583069	166003.25
3.17000007629395	169556.3125
3.1800000667572	168488.109375
3.19000005722046	166732.96875
3.20000004768372	165318.59375
3.21000003814697	159830.484375
3.22000002861023	157512.140625
3.23000001907349	158347.0625
3.24000000953674	158623.546875
3.25	159932.375
3.25999999046326	158030.609375
3.26999998092651	154687.828125
3.27999997138977	156329.828125
3.28999996185303	155348.0625
3.29999995231628	156385.265625
3.30999994277954	155753.96875
3.3199999332428	154242.328125
3.32999992370605	156355.171875
3.33999991416931	155205.734375
3.34999990463257	153978.921875
3.35999989509583	149654.328125
3.36999988555908	147306.5625
3.38000011444092	148614.078125
3.39000010490417	147401.609375
3.40000009536743	150816.90625
3.41000008583069	145905.765625
3.42000007629395	143951.34375
3.4300000667572	146306.65625
3.44000005722046	148675.34375
3.45000004768372	146538.0625
3.46000003814697	144710.953125
3.47000002861023	144478.40625
3.48000001907349	138572.703125
3.49000000953674	135179.125
3.5	137458.734375
3.50999999046326	136262.3125
3.51999998092651	134914.640625
3.52999997138977	132563.609375
3.53999996185303	135131.78125
3.54999995231628	133658.1875
3.55999994277954	131984.828125
3.5699999332428	134273.5
3.57999992370605	131829.765625
3.58999991416931	132376.859375
3.59999990463257	134460.9375
3.60999989509583	131957.8125
3.61999988555908	129670.046875
3.63000011444092	129771.75
3.64000010490417	129160.2109375
3.65000009536743	123021.6953125
3.66000008583069	124820.3671875
3.67000007629395	125268.5390625
3.6800000667572	124492.1484375
3.69000005722046	123405.296875
3.70000004768372	124065.9140625
3.71000003814697	122271.25
3.72000002861023	121948.859375
3.73000001907349	122039.0546875
3.74000000953674	121920.8984375
3.75	120893.6328125
3.75999999046326	120164.1796875
3.76999998092651	119640.1640625
3.77999997138977	118317.6953125
3.78999996185303	117735.515625
3.79999995231628	117860.671875
3.80999994277954	119206.9296875
3.8199999332428	116916.5546875
3.82999992370605	114805.40625
3.83999991416931	113393.6328125
3.84999990463257	116770.8671875
3.85999989509583	116892.3359375
3.86999988555908	115787.625
3.88000011444092	116575.375
3.89000010490417	113908.515625
3.90000009536743	112269.296875
3.91000008583069	112659.6484375
3.92000007629395	111613.1484375
3.9300000667572	109901.0078125
3.94000005722046	108080.21875
3.95000004768372	108266.5078125
3.96000003814697	110771.734375
3.97000002861023	108330.7109375
3.98000001907349	105336.59375
3.99000000953674	104910.796875
4	107435.1015625
4.01000022888184	109682.75
4.01999998092651	110612.7890625
4.03000020980835	109174.890625
4.03999996185303	104861.6875
4.05000019073486	103632.0859375
4.05999994277954	105979.3515625
4.07000017166138	108896.2734375
4.07999992370605	104706.3828125
4.09000015258789	104624.453125
4.09999990463257	102622.7734375
4.1100001335144	97739.9140625
4.11999988555908	100267.375
4.13000011444092	100532.84375
4.1399998664856	98544.0078125
4.15000009536743	99976.6015625
4.15999984741211	99404.7265625
4.17000007629395	102433.84375
4.17999982833862	101617.359375
4.19000005722046	99172.546875
4.19999980926514	99602.5546875
4.21000003814697	101536.7734375
4.21999979019165	98101.5546875
4.23000001907349	95354.2421875
4.23999977111816	94701.953125
4.25	94363.3125
4.26000022888184	96967.5859375
4.26999998092651	98108.6875
4.28000020980835	95981.109375
4.28999996185303	93294.015625
4.30000019073486	93086.6171875
4.30999994277954	91145.7578125
4.32000017166138	93287.8203125
4.32999992370605	95007.5546875
4.34000015258789	95090.8203125
4.34999990463257	94364.0859375
4.3600001335144	93302
4.36999988555908	94121.6015625
4.38000011444092	92763.6640625
4.3899998664856	91254.59375
4.40000009536743	92888.1953125
4.40999984741211	93684.3671875
4.42000007629395	92872.375
4.42999982833862	95937.1171875
4.44000005722046	95060.171875
4.44999980926514	93413.7109375
4.46000003814697	90816.046875
4.46999979019165	90460.5
4.48000001907349	91884.421875
4.48999977111816	89939.8203125
4.5	91198.2265625
4.51000022888184	92596.9765625
4.51999998092651	87359.359375
4.53000020980835	86459.21875
4.53999996185303	88708.25
4.55000019073486	88997.1953125
4.55999994277954	90746.15625
4.57000017166138	87969.171875
4.57999992370605	84284.921875
4.59000015258789	83496.9296875
4.59999990463257	83175.1796875
4.6100001335144	83311.4921875
4.61999988555908	84104.9921875
4.63000011444092	84612.859375
4.6399998664856	83204.4453125
4.65000009536743	84440.9140625
4.65999984741211	82400.7265625
4.67000007629395	81649.6015625
4.67999982833862	86364.234375
4.69000005722046	84022.078125
4.69999980926514	84596.6875
4.71000003814697	83991.6953125
4.71999979019165	84360.921875
4.73000001907349	84554.671875
4.73999977111816	82982.25
4.75	81157.03125
4.76000022888184	82406.6484375
4.76999998092651	82681.3203125
4.78000020980835	83673.09375
4.78999996185303	81019.4375
4.80000019073486	81676.9296875
4.80999994277954	83921.3515625
4.82000017166138	82908.2890625
4.82999992370605	81805.1796875
4.84000015258789	80411.2265625
4.84999990463257	80604.84375
4.8600001335144	81538.734375
4.86999988555908	82797.25
4.88000011444092	81456.3046875
4.8899998664856	81486.3359375
4.90000009536743	79242.828125
4.90999984741211	76937.1953125
4.92000007629395	76284.8515625
4.92999982833862	77834.4375
4.94000005722046	76883.46875
4.94999980926514	79062.921875
4.96000003814697	80555.3671875
4.96999979019165	79813.0390625
4.98000001907349	78573.296875
4.98999977111816	77608.1328125
5	78300.953125
5.01000022888184	75491.3671875
5.01999998092651	75516.8671875
5.03000020980835	75448.84375
5.03999996185303	73549.1953125
5.05000019073486	75807.515625
5.05999994277954	76047.90625
5.07000017166138	76066.1015625
5.07999992370605	78134.6875
5.09000015258789	76728.046875
5.09999990463257	74789.3125
5.1100001335144	73766.9453125
5.11999988555908	76357.09375
5.13000011444092	75975.7265625
5.1399998664856	75698.609375
5.15000009536743	71653.3359375
5.15999984741211	73495.3828125
5.17000007629395	73732.296875
5.17999982833862	69778.296875
5.19000005722046	70977.875
5.19999980926514	73674.234375
5.21000003814697	75103.359375
5.21999979019165	74819.6640625
5.23000001907349	72715.5
5.23999977111816	70413.390625
5.25	71740.046875
5.26000022888184	71982.0859375
5.26999998092651	71257.5234375
5.28000020980835	70923.03125
5.28999996185303	70489.296875
5.30000019073486	70694.328125
5.30999994277954	72697.5234375
5.32000017166138	73565.875
5.32999992370605	71393.8828125
5.34000015258789	72173.0859375
5.34999990463257	71148.2734375
5.3600001335144	72350.0625
5.36999988555908	72923.84375
5.38000011444092	71659.984375
5.3899998664856	68821.125
5.40000009536743	70422.3515625
5.40999984741211	71101.140625
5.42000007629395	68462.75
5.42999982833862	68303.7265625
5.44000005722046	70224.953125
5.44999980926514	71188.9453125
5.46000003814697	71639.4921875
5.46999979019165	70787.75
5.48000001907349	69179.078125
5.48999977111816	69886.5078125
5.5	69625.9921875
