M17/1	
θ/2θ, °	Intensity, cps
3	260313.53125
3.00999999046326	257287.25
3.01999998092651	255254.15625
3.02999997138977	252058.6875
3.03999996185303	251613.828125
3.04999995231628	255140.890625
3.05999994277954	250635.53125
3.0699999332428	246284.375
3.07999992370605	241865.984375
3.08999991416931	238725.25
3.09999990463257	238595.484375
3.10999989509583	234646.71875
3.11999988555908	233555.375
3.13000011444092	231685.921875
3.14000010490417	226388.46875
3.15000009536743	223168.59375
3.16000008583069	227525.78125
3.17000007629395	229438.9375
3.1800000667572	225635.984375
3.19000005722046	222153.09375
3.20000004768372	219297.59375
3.21000003814697	213791.296875
3.22000002861023	210263.96875
3.23000001907349	212496.234375
3.24000000953674	212777.71875
3.25	210820.484375
3.25999999046326	204753.125
3.26999998092651	202359.515625
3.27999997138977	203043.890625
3.28999996185303	200044.375
3.29999995231628	196381.53125
3.30999994277954	195350.734375
3.3199999332428	194288.078125
3.32999992370605	193886.203125
3.33999991416931	192222.703125
3.34999990463257	191610.40625
3.35999989509583	190956.15625
3.36999988555908	186218.859375
3.38000011444092	188181.15625
3.39000010490417	190381.328125
3.40000009536743	190237.34375
3.41000008583069	185956.75
3.42000007629395	184642.09375
3.4300000667572	180477.890625
3.44000005722046	177578.71875
3.45000004768372	174256.703125
3.46000003814697	172812.234375
3.47000002861023	174398.5625
3.48000001907349	174541.890625
3.49000000953674	171149.78125
3.5	166927.203125
3.50999999046326	164501.84375
3.51999998092651	164449.65625
3.52999997138977	166580.34375
3.53999996185303	166186.296875
3.54999995231628	163812.5625
3.55999994277954	163635.953125
3.5699999332428	163720.765625
3.57999992370605	159065.953125
3.58999991416931	157677.953125
3.59999990463257	157994.453125
3.60999989509583	156914.765625
3.61999988555908	155714.484375
3.63000011444092	155701.96875
3.64000010490417	152811.625
3.65000009536743	152673.625
3.66000008583069	150909.09375
3.67000007629395	147277.453125
3.6800000667572	147389.53125
3.69000005722046	148078.0625
3.70000004768372	146136.515625
3.71000003814697	144630.125
3.72000002861023	143320.734375
3.73000001907349	143368.5625
3.74000000953674	143113.25
3.75	141140.75
3.75999999046326	139655.75
3.76999998092651	140116.09375
3.77999997138977	138000.703125
3.78999996185303	136658.71875
3.79999995231628	137285.921875
3.80999994277954	137149.015625
3.8199999332428	136142.953125
3.82999992370605	131864.65625
3.83999991416931	129530.640625
