M26/1	
θ/2θ, °	Intensity, cps
3	123583.9375
3.00999999046326	123502.7578125
3.01999998092651	122553.328125
3.02999997138977	121536.21875
3.03999996185303	118151.1328125
3.04999995231628	116521.625
3.05999994277954	118485.6953125
3.0699999332428	118962.6796875
3.07999992370605	119722.4140625
3.08999991416931	117845.1484375
3.09999990463257	115016.015625
3.10999989509583	113354.90625
3.11999988555908	115543.6875
3.13000011444092	113858.1875
3.14000010490417	111538.6171875
3.15000009536743	112346.265625
3.16000008583069	112905.328125
3.17000007629395	111385.15625
3.1800000667572	111302.5546875
3.19000005722046	111604.3203125
3.20000004768372	111297.5546875
3.21000003814697	110977.46875
3.22000002861023	111278.9765625
3.23000001907349	110376.140625
3.24000000953674	110152.375
3.25	109967.1328125
3.25999999046326	109838.1640625
3.26999998092651	107213.5546875
3.27999997138977	105596.8046875
3.28999996185303	106439.734375
3.29999995231628	106305.3046875
3.30999994277954	105162.0234375
3.3199999332428	104877.578125
3.32999992370605	104232.9375
3.33999991416931	102879.5859375
3.34999990463257	100632.7734375
3.35999989509583	100081.5234375
3.36999988555908	99499.8203125
3.38000011444092	98645.2265625
3.39000010490417	99312.546875
3.40000009536743	100186.296875
3.41000008583069	101856.03125
3.42000007629395	99219.34375
3.4300000667572	99249.640625
3.44000005722046	100602.9140625
3.45000004768372	97820.7421875
3.46000003814697	97840.46875
3.47000002861023	98405.875
3.48000001907349	96602.375
3.49000000953674	96004.140625
3.5	96442
3.50999999046326	96957.8125
3.51999998092651	96088.1171875
3.52999997138977	95403.953125
3.53999996185303	94934.078125
3.54999995231628	94141.890625
3.55999994277954	94115.765625
3.5699999332428	93720.7265625
3.57999992370605	92274.2578125
3.58999991416931	91619.640625
3.59999990463257	92241.078125
3.60999989509583	93204.3984375
3.61999988555908	93032.421875
3.63000011444092	93253.1171875
3.64000010490417	91958.65625
3.65000009536743	91209.5546875
3.66000008583069	89084.2421875
3.67000007629395	88825.03125
3.6800000667572	90148.9765625
3.69000005722046	87848.09375
3.70000004768372	86876.5859375
3.71000003814697	87295.1484375
3.72000002861023	87541.6640625
3.73000001907349	88050.03125
3.74000000953674	87565.1484375
3.75	87119.828125
3.75999999046326	87001.5
3.76999998092651	86950.484375
3.77999997138977	84316.8671875
3.78999996185303	83709.09375
3.79999995231628	84059.8203125
3.80999994277954	84915.4296875
3.8199999332428	85849.796875
3.82999992370605	84426.28125
3.83999991416931	84458.171875
3.84999990463257	85965.9296875
3.85999989509583	85312.03125
3.86999988555908	84726.2890625
3.88000011444092	84219.9609375
3.89000010490417	80780.625
3.90000009536743	82070.8359375
3.91000008583069	82021.6015625
3.92000007629395	81595.2265625
3.9300000667572	82048.4765625
3.94000005722046	82314.71875
3.95000004768372	81492.0078125
3.96000003814697	82159.6328125
3.97000002861023	80722.1640625
3.98000001907349	80296.015625
3.99000000953674	81885.890625
4	80886.9140625
4.01000022888184	78685.4609375
4.01999998092651	78317.3515625
4.03000020980835	78476.7578125
4.03999996185303	79356.421875
4.05000019073486	78411.0390625
4.05999994277954	78240.3984375
4.07000017166138	76661.3671875
4.07999992370605	78758.15625
4.09000015258789	80722.09375
4.09999990463257	78227.0078125
4.1100001335144	78934.390625
4.11999988555908	79417.625
4.13000011444092	76246.2421875
4.1399998664856	77303.375
4.15000009536743	78688.375
4.15999984741211	78038.2890625
4.17000007629395	77871.28125
4.17999982833862	78924.25
4.19000005722046	77170.5546875
4.19999980926514	75424.7890625
4.21000003814697	75633.8203125
4.21999979019165	75718.1328125
4.23000001907349	76489.671875
4.23999977111816	76095.4765625
4.25	72880.765625
4.26000022888184	74539.2421875
4.26999998092651	74702.6484375
4.28000020980835	75392.3359375
4.28999996185303	74644.328125
4.30000019073486	73835.2578125
4.30999994277954	74876.375
4.32000017166138	73622.9453125
4.32999992370605	72533.0703125
4.34000015258789	72322.515625
4.34999990463257	72703.1640625
4.3600001335144	73931.046875
4.36999988555908	72437.9296875
4.38000011444092	70532.1640625
4.3899998664856	70472.171875
4.40000009536743	70456.5703125
4.40999984741211	71187.640625
4.42000007629395	73457.8984375
4.42999982833862	73379.109375
4.44000005722046	71358.09375
4.44999980926514	73136.265625
4.46000003814697	73601.59375
4.46999979019165	70051.7890625
4.48000001907349	68905.2578125
4.48999977111816	68981.59375
4.5	69625.6171875
4.51000022888184	72066.6484375
4.51999998092651	71159.6953125
4.53000020980835	70378.71875
4.53999996185303	71361.359375
4.55000019073486	69508.90625
4.55999994277954	70119.90625
4.57000017166138	70602.6875
4.57999992370605	70563.2734375
4.59000015258789	68584.6875
4.59999990463257	69345.15625
4.6100001335144	67904.84375
4.61999988555908	67993.015625
4.63000011444092	69111.9375
4.6399998664856	67986.796875
4.65000009536743	68024.3984375
4.65999984741211	67573.734375
4.67000007629395	67861.7734375
4.67999982833862	67379.4296875
4.69000005722046	67684.359375
4.69999980926514	67301.9296875
4.71000003814697	66845.859375
4.71999979019165	67266.234375
4.73000001907349	67905.1015625
