2thetadeg,intx,d-value,sigx,count
0.001,0.0,88267.7,0.0,0
0.011,0.0,8025.088,0.0,0
0.021,0.0,4203.636,0.0,0
0.031,0.0,2847.629,0.0,0
0.041,0.0,2153.087,0.0,0
0.05099,0.0,1730.914,0.0,0
0.06099,0.0,1447.158,0.0,0
0.07099,0.0,1243.333,0.0,0
0.08099,0.0,1089.836,0.0,0
0.09099,0.0,970.0737,0.0,0
0.10099,0.0,874.0269,0.0,0
0.11099,0.0,795.2858,0.0,0
0.12099,0.0,729.5598,0.0,0
0.13099,0.0,673.8683,0.0,0
0.14099,0.0,626.0762,0.0,0
0.15098,0.0,584.6143,0.0,0
0.16098,0.0,548.3029,0.0,0
0.17098,0.0,516.2384,0.0,0
0.18098,0.0,487.717,0.0,0
0.19098,0.0,462.1821,0.0,0
0.20098,0.0,439.188,0.0,0
0.21098,0.0,418.3735,0.0,0
0.22098,0.0,399.4426,0.0,0
0.23098,0.0,382.1507,0.0,0
0.24098,0.0,366.2939,0.0,0
0.25097,0.0,351.7005,0.0,0
0.26097,0.0,338.2254,0.0,0
0.27097,0.0,325.7448,0.0,0
0.28097,0.0,314.1525,0.0,0
0.29097,0.0,303.3569,0.0,0
0.30097,0.0,293.2786,0.0,0
0.31097,0.0,283.8485,0.0,0
0.32097,0.0,275.0059,0.0,0
0.33097,0.0,266.6976,0.0,0
0.34096,0.0,258.8765,0.0,0
0.35096,0.0,251.5012,0.0,0
0.36096,0.0,244.5344,0.0,0
0.37096,0.0,237.9432,0.0,0
0.38096,0.0,231.698,0.0,0
0.39096,0.0,225.7722,0.0,0
0.40096,0.0,220.142,0.0,0
0.41096,0.0,214.7858,0.0,0
0.42096,0.0,209.684,0.0,0
0.43096,0.0,204.819,0.0,0
0.44095,0.0,200.1746,0.0,0
0.45095,0.0,195.7361,0.0,0
0.46095,0.0,191.4903,0.0,0
0.47095,0.0,187.4247,0.0,0
0.48095,0.0,183.5281,0.0,0
0.49095,0.0,179.7903,0.0,0
0.50095,0.0,176.2017,0.0,0
0.51095,0.0,172.7536,0.0,0
0.52095,0.0,169.4378,0.0,0
0.53095,0.0,166.2469,0.0,0
0.54094,0.0,163.1739,0.0,0
0.55094,0.0,160.2126,0.0,0
0.56094,0.0,157.3567,0.0,0
0.57094,0.0,154.601,0.0,0
0.58094,0.0,151.94,0.0,0
0.59094,0.0,149.3692,0.0,0
0.60094,0.0,146.8838,0.0,0
0.61094,0.0,144.4799,0.0,0
0.62094,0.0,142.1533,0.0,0
0.63094,0.0,139.9005,0.0,0
0.64093,0.0,137.718,0.0,0
0.65093,0.0,135.6025,0.0,0
0.66093,0.0,133.5511,0.0,0
0.67093,0.0,131.5608,0.0,0
0.68093,0.0,129.6289,0.0,0
0.69093,0.0,127.753,0.0,0
0.70093,0.0,125.9306,0.0,0
0.71093,0.0,124.1594,0.0,0
0.72093,0.0,122.4374,0.0,0
0.73092,0.0,120.7625,0.0,0
0.74092,0.0,119.1328,0.0,0
0.75092,0.0,117.5465,0.0,0
0.76092,0.0,116.0019,0.0,0
0.77092,0.0,114.4973,0.0,0
0.78092,0.0,113.0313,0.0,0
0.79092,0.0,111.6024,0.0,0
0.80092,0.0,110.2091,0.0,0
0.81092,0.0,108.8502,0.0,0
0.82092,0.0,107.5244,0.0,0
0.83091,0.0,106.2305,0.0,0
0.84091,0.0,104.9674,0.0,0
0.85091,0.0,103.734,0.0,0
0.86091,0.0,102.5292,0.0,0
0.87091,0.0,101.3521,0.0,0
0.88091,0.0,100.2017,0.0,0
0.89091,0.0,99.07707,0.0,0
0.90091,0.0,97.97746,0.0,0
0.91091,0.0,96.90199,0.0,0
0.92091,0.0,95.84987,0.0,0
0.9309,0.0,94.82036,0.0,0
0.9409,0.0,93.81273,0.0,0
0.9509,0.0,92.82628,0.0,0
0.9609,0.0,91.86037,0.0,0
0.9709,0.0,90.91436,0.0,0
0.9809,0.0,89.98763,0.0,0
0.9909,0.0,89.0796,0.0,0
1.0009,0.0,88.18972,0.0,0
1.0109,0.0,87.31744,0.0,0
1.02089,0.0,86.46224,0.0,0
1.03089,0.0,85.62364,0.0,0
1.04089,0.0,84.80115,0.0,0
1.05089,0.0,83.99431,0.0,0
1.06089,0.0,83.20268,0.0,0
1.07089,0.0,82.42583,0.0,0
1.08089,0.0,81.66336,0.0,0
1.09089,0.0,80.91486,0.0,0
1.10089,0.0,80.17997,0.0,0
1.11089,0.0,79.4583,0.0,0
1.12088,0.0,78.7495,0.0,0
1.13088,0.0,78.05324,0.0,0
1.14088,0.0,77.36919,0.0,0
1.15088,0.0,76.69702,0.0,0
1.16088,0.0,76.03643,0.0,0
1.17088,0.0,75.38712,0.0,0
1.18088,0.0,74.74881,0.0,0
1.19088,0.0,74.12122,0.0,0
1.20088,0.0,73.50408,0.0,0
1.21088,0.0,72.89713,0.0,0
1.22087,0.0,72.30013,0.0,0
1.23087,0.0,71.71282,0.0,0
1.24087,0.0,71.13498,0.0,0
1.25087,0.0,70.56638,0.0,0
1.26087,0.0,70.00679,0.0,0
1.27087,0.0,69.45602,0.0,0
1.28087,0.0,68.91384,0.0,0
1.29087,0.0,68.38006,0.0,0
1.30087,0.0,67.85448,0.0,0
1.31087,0.0,67.33693,0.0,0
1.32086,0.0,66.82721,0.0,0
1.33086,0.0,66.32515,0.0,0
1.34086,0.0,65.83057,0.0,0
1.35086,0.0,65.34332,0.0,0
1.36086,0.0,64.86323,0.0,0
1.37086,0.0,64.39015,0.0,0
1.38086,0.0,63.92391,0.0,0
1.39086,0.0,63.46438,0.0,0
1.40086,0.0,63.01141,0.0,0
1.41085,0.0,62.56486,0.0,0
1.42085,0.0,62.12459,0.0,0
1.43085,0.0,61.69048,0.0,0
1.44085,0.0,61.2624,0.0,0
1.45085,0.0,60.84021,0.0,0
1.46085,0.0,60.4238,0.0,0
1.47085,0.0,60.01306,0.0,0
1.48085,0.0,59.60786,0.0,0
1.49085,0.0,59.2081,0.0,0
1.50085,0.0,58.81366,0.0,0
1.51084,0.0,58.42445,0.0,0
1.52084,0.0,58.04035,0.0,0
1.53084,0.0,57.66128,0.0,0
1.54084,0.0,57.28712,0.0,0
1.55084,0.0,56.91778,0.0,0
1.56084,0.0,56.55318,0.0,0
1.57084,0.0,56.19322,0.0,0
1.58084,0.0,55.83782,0.0,0
1.59084,0.0,55.48688,0.0,0
1.60084,0.0,55.14032,0.0,0
1.61083,0.0,54.79807,0.0,0
1.62083,0.0,54.46004,0.0,0
1.63083,0.0,54.12616,0.0,0
1.64083,0.0,53.79635,0.0,0
1.65083,0.0,53.47053,0.0,0
1.66083,0.0,53.14863,0.0,0
1.67083,0.0,52.83059,0.0,0
1.68083,0.0,52.51633,0.0,0
1.69083,0.0,52.20579,0.0,0
1.70082,0.0,51.8989,0.0,0
1.71082,0.0,51.5956,0.0,0
1.72082,0.0,51.29582,0.0,0
1.73082,0.0,50.99951,0.0,0
1.74082,0.0,50.7066,0.0,0
1.75082,0.0,50.41703,0.0,0
1.76082,0.0,50.13076,0.0,0
1.77082,0.0,49.84771,0.0,0
